date,location,avg_temp_forecast,max_temp_forecast,min_temp_forecast
2026-03-21,東京,8.9,15.3,3.2
2026-03-22,東京,9.4,15.3,3.3
2026-03-23,東京,11.4,17.0,5.8
2026-03-24,東京,11.8,16.8,7.4
2026-03-25,東京,11.4,12.9,10.5
2026-03-26,東京,12.7,18.5,10.3
2026-03-27,東京,12.5,17.7,8.8
2026-03-28,東京,13.8,18.1,9.5
2026-03-29,東京,13.3,14.6,12.7
2026-03-30,東京,14.8,19.5,11.8
2026-03-31,東京,12.6,15.9,9.5
2026-04-01,東京,14.2,16.6,11.0
2026-04-02,東京,13.4,15.1,12.3
2026-04-03,東京,14.2,17.8,11.6
2026-04-04,東京,13.6,16.7,10.1
2026-04-05,東京,16.9,20.2,13.1
